Município;Classificação de % em relação a população geral;% em relação a população geral;Doses Aplicadas - D1;População
SERRANA;1;65,08412935;29707;45644
TURMALINA;2;34,84669811;591;1696
FLORA RICA;3;34,26573427;490;1430
SANTANA DA PONTE PENSA;4;33,60599864;493;1467
ÁGUAS DE SÃO PEDRO;5;32,1499574;1132;3521
ARCO-ÍRIS;6;30,90806543;548;1773
FLOREAL;7;28,96551724;840;2900
SANTA SALETE;8;28,86597938;448;1552
RIBEIRÃO DOS ÍNDIOS;9;28,01258993;623;2224
URU;10;27,84041631;321;1153
ALFREDO MARCONDES;11;27,77246654;1162;4184
SÃO JOÃO DO PAU D'ALHO;12;27,76190476;583;2100
APARECIDA D'OESTE;13;27,34487735;1137;4158
NOVA CANAÃ PAULISTA;14;26,99784017;500;1852
PRESIDENTE BERNARDES;15;26,93695769;3508;13023
OSCAR BRESSANE;16;26,69996158;695;2603
SANTA RITA D'OESTE;17;26,53799759;660;2487
SÃO CAETANO DO SUL;18;26,15694289;42363;161957
PARISI;19;26,04887045;565;2169
ÁLVARES FLORENCE;20;25,88428846;944;3647
POPULINA;21;25,5539499;1061;4152
PEDRANÓPOLIS;22;25,3929867;630;2481
ELDORADO;23;25,32810088;3937;15544
SÃO FRANCISCO;24;25,23961661;711;2817
SANTOS;25;25,18055786;109197;433656
ÓLEO;26;25,1315257;621;2471
INDIAPORÃ;27;25,09006691;975;3886
DIVINOLÂNDIA;28;24,87822479;2758;11086
FLORÍNEA;29;24,87749717;660;2653
ADOLFO;30;24,76083286;880;3554
DOLCINÓPOLIS;31;24,66856061;521;2112
BARRA DO TURVO;32;24,62002096;1879;7632
ALTO ALEGRE;33;24,43737769;999;4088
MESÓPOLIS;34;24,2519685;462;1905
MAGDA;35;24,21018698;751;3102
ASPÁSIA;36;24,20242024;440;1818
TURIÚBA;37;24,05940594;486;2020
TUPI PAULISTA;38;23,98767888;3738;15583
SANTA CRUZ DA CONCEIÇÃO;39;23,94366197;1088;4544
PALMEIRA D'OESTE;40;23,82139374;2198;9227
CRUZÁLIA;41;23,75366569;486;2046
NEVES PAULISTA;42;23,56830662;2103;8923
MIRA ESTRELA;43;23,53509337;731;3106
SANTA RITA DO PASSA QUATRO;44;23,51811594;6491;27600
SANTA FÉ DO SUL;45;23,41614716;7625;32563
MARINÓPOLIS;46;23,36182336;492;2106
NOVA GUATAPORANGA;47;23,35483871;543;2325
TAIÚVA;48;23,32854062;1298;5564
TIMBURI;49;23,26546003;617;2652
