city,date,totalDeaths,totalCases,totalRecovered,totalBeds,intubated
Aparecida,2020-12-29,21,773,723,11,01
Aparecida,2021-01-04,21,781,724,13,01
Aparecida,2021-01-05,22,822,780,08,03
Aparecida,2021-01-06,22,831,786,11,02
Aparecida,2021-01-07,22,847,792,15,02
Aparecida,2021-01-10,22,857,799,16,04
Aparecida,2021-01-11,22,906,841,22,01
Aparecida,2021-01-12,22,921,873,23,02
Aparecida,2021-01-13,22,963,894,26,02
Aparecida,2021-01-14,22,1002,946,15,01
Aparecida,2021-01-15,22,1027,955,16,01
Aparecida,2021-01-18,23,1042,981,23,00
Aparecida,2021-01-19,23,1064,1000,28,00
Aparecida,2021-01-20,23,1064,1000,20,01
Aparecida,2021-01-21,23,1079,1016,21,02
Aparecida,2021-01-22,23,1107,1050,15,02
Aparecida,2021-01-25,25,1112,1069,16,03
Aparecida,2021-01-26,25,1147,1096,17,04
Aparecida,2021-01-27,26,1155,1101,18,04
Aparecida,2021-01-28,27,1174,1120,16,02
Aparecida,2021-01-29,27,1243,1162,16,02
Aparecida,2021-02-01,28,1243,1162,18,01
Aparecida,2021-02-02,28,1264,1207,15,01
Aparecida,2021-02-03,28,1302,1242,15,01
Aparecida,2021-02-04,28,1317,1246,12,00
Aparecida,2021-02-05,29,1318,1246,12,02
Aparecida,2021-02-08,29,1355,1291,07,00
Aparecida,2021-02-10,30,1367,1310,11,00
Aparecida,2021-02-11,30,1367,1310,10,00
Aparecida,2021-02-12,30,1367,1310,13,00
Aparecida,2021-02-15,30,1457,1409,15,00
Aparecida,2021-02-16,30,1465,1417,12,00
Aparecida,2021-02-17,30,1501,1439,12,00
Aparecida,2021-02-18,30,1508,1447,12,00
Aparecida,2021-02-19,30,1510,1447,13,00
Aparecida,2021-02-22,30,1523,1470,10,00
Aparecida,2021-02-23,30,1536,1484,09,00
Aparecida,2021-02-24,30,1552,1497,11,00
Aparecida,2021-02-25,30,1588,1522,08,01
Aparecida,2021-02-26,30,1603,1526,12,00
Aparecida,2021-03-01,31,1614,1552,16,00
Aparecida,2021-03-02,31,1620,1561,17,00
Aparecida,2021-03-03,31,1628,1569,13,02
Aparecida,2021-03-04,31,1642,1586,14,01
Aparecida,2021-03-08,31,1686,1607,21,02
Aparecida,2021-03-09,32,1703,1610,22,03
Aparecida,2021-03-10,32,1713,1611,24,01
Aparecida,2021-03-11,32,1719,1611,29,00
Aparecida,2021-03-12,33,1729,1626,24,00
Aparecida,2021-03-15,36,1753,1649,26,00
Aparecida,2021-03-16,38,1756,1655,27,02
Aparecida,2021-03-17,42,1784,1662,27,04
Aparecida,2021-03-18,42,1796,1682,38,04
Aparecida,2021-03-19,43,1811,1682,46,04
Aparecida,2021-03-22,44,1827,1711,55,04
Aparecida,2021-03-23,44,1856,1719,57,06
Aparecida,2021-03-24,48,1861,1723,48,07
Aparecida,2021-03-25,50,1896,1728,50,07
Aparecida,2021-03-26,50,1934,1756,46,07
Aparecida,2021-03-29,51,1985,1807,33,06
Aparecida,2021-03-30,54,2003,1822,40,06
Aparecida,2021-03-31,54,2012,1829,34,06
Aparecida,2021-04-05,59,2048,1904,39,05
Aparecida,2021-04-06,60,2057,1923,40,06
Aparecida,2021-04-07,60,2103,1952,39,07
Aparecida,2021-04-08,61,2128,1971,44,09
Aparecida,2021-04-09,62,2143,1986,44,10
Aparecida,2021-04-13,65,2149,2015,43,10
Aparecida,2021-04-14,68,2254,2095,40,06
Aparecida,2021-04-15,69,2271,2109,41,09
Aparecida,2021-04-16,69,2294,2124,41,10
Aparecida,2021-04-19,73,2319,2160,43,09
Aparecida,2021-04-20,75,2323,2180,37,09
Aparecida,2021-04-21,75,2351,2189,36,10
Aparecida,2021-04-22,75,2375,2196,42,10
Aparecida,2021-04-26,75,2379,2237,41,10
Aparecida,2021-04-27,78,2408,2247,40,09
Aparecida,2021-04-28,79,2455,2266,32,10
Aparecida,2021-04-29,79,2463,2272,31,09
Aparecida,2021-04-30,79,2475,2288,32,09
Aparecida,2021-05-03,79,2507,2328,37,09
Aparecida,2021-05-04,81,2521,2337,34,10
Aparecida,2021-05-05,81,2528,2342,35,10
Aparecida,2021-05-06,82,2548,2358,37,09
Aparecida,2021-05-07,82,2557,2372,39,10
Aparecida,2021-05-10,82,2589,2418,36,09
Aparecida,2021-05-11,82,2607,2425,36,10
Aparecida,2021-05-12,83,2627,2443,35,10
Aparecida,2021-05-13,83,2627,2451,30,10
Aparecida,2021-05-14,83,2659,2505,37,10
Aparecida,2021-05-17,84,2691,2554,42,10
Aparecida,2021-05-18,84,2706,2565,37,10
Aparecida,2021-05-19,84,2715,2571,33,10
Aparecida,2021-05-20,84,2731,2588,29,10
Aparecida,2021-05-21,84,2752,2610,23,10
Aparecida,2021-05-24,85,2773,2645,24,10
Aparecida,2021-05-25,85,2781,2653,29,09
Aparecida,2021-05-26,86,2800,2663,26,08
Aparecida,2021-05-27,86,2822,2667,34,09
Aparecida,2021-05-28,87,2837,2683,32,08
Aparecida,2021-05-31,87,2867,2725,31,08
Aparecida,2021-06-01,87,2878,2751,23,09
Aparecida,2021-06-02,87,2883,2762,23,09
