Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;2383;64;;;
3500204;Interior;Adolfo;382;9;;;
3500303;Interior;Aguaí;1889;53;;;
3500402;Interior;Águas da Prata;401;19;;;
3500501;Interior;Águas de Lindóia;1012;25;;;
3500550;Interior;Águas de Santa Bárbara;295;12;;;
3500600;Interior;Águas de São Pedro;215;5;;;
3500709;Interior;Agudos;2656;58;;;
3500758;Interior;Alambari;424;9;;;
3500808;Interior;Alfredo Marcondes;205;8;;;
3500907;Interior;Altair;135;9;;;
3501004;Interior;Altinópolis;689;22;;;
3501103;Interior;Alto Alegre;219;10;;;
3501152;Interior;Alumínio;1113;35;;;
3501202;Interior;Álvares Florence;328;11;;;
3501301;Interior;Álvares Machado;1318;42;;;
3501400;Interior;Álvaro de Carvalho;137;9;;;
3501509;Interior;Alvinlândia;110;6;;;
3501608;Interior;Americana;15506;484;;;
3501707;Interior;Américo Brasiliense;3042;70;;;
3501806;Interior;Américo de Campos;618;19;;;
3501905;Interior;Amparo;4113;107;;;
3502002;Interior;Analândia;250;3;;;
3502101;Interior;Andradina;4471;190;;;
3502200;Interior;Angatuba;2134;54;;;
3502309;Interior;Anhembi;128;3;;;
3502408;Interior;Anhumas;181;4;;;
3502507;Interior;Aparecida;2046;68;;;
3502606;Interior;Aparecida d'Oeste;579;11;;;
3502705;Interior;Apiaí;934;40;;;
3502754;Interior;Araçariguama;1152;36;;;
3502804;Interior;Araçatuba;21142;609;;;
3502903;Interior;Araçoiaba da Serra;1976;41;;;
3503000;Interior;Aramina;235;9;;;
3503109;Interior;Arandu;258;7;;;
3503158;Interior;Arapeí;178;2;;;
3503208;Interior;Araraquara;15940;356;;;
3503307;Interior;Araras;13112;289;;;
3503356;Interior;Arco-Íris;87;5;;;
3503406;Interior;Arealva;580;8;;;
3503505;Interior;Areias;230;1;;;
3503604;Interior;Areiópolis;837;12;;;
3503703;Interior;Ariranha;381;13;;;
3503802;Interior;Artur Nogueira;3137;90;;;
3503901;RMSP (exceto capital);Arujá;5826;215;;;
3503950;Interior;Aspásia;90;4;;;
3504008;Interior;Assis;6943;226;;;
3504107;Interior;Atibaia;8467;204;;;
3504206;Interior;Auriflama;1576;53;;;
3504305;Interior;Avaí;255;4;;;
3504404;Interior;Avanhandava;533;23;;;
3504503;Interior;Avaré;5951;136;;;
3504602;Interior;Bady Bassitt;2264;50;;;
3504701;Interior;Balbinos;308;3;;;
3504800;Interior;Bálsamo;1241;49;;;
3504909;Interior;Bananal;723;2;;;
3505005;Interior;Barão de Antonina;178;3;;;
3505104;Interior;Barbosa;342;10;;;
3505203;Interior;Bariri;2234;86;;;
3505302;Interior;Barra Bonita;2564;68;;;
3505351;Interior;Barra do Chapéu;217;1;;;
3505401;Interior;Barra do Turvo;441;11;;;
3505500;Interior;Barretos;10397;303;;;
3505609;Interior;Barrinha;1199;50;;;
3505708;RMSP (exceto capital);Barueri;22439;847;;;
3505807;Interior;Bastos;579;22;;;
3505906;Interior;Batatais;2100;85;;;
3506003;Interior;Bauru;34092;747;;;
3506102;Interior;Bebedouro;3242;81;;;
3506201;Interior;Bento de Abreu;238;0;;;
3506300;Interior;Bernardino de Campos;387;7;;;
3506359;Interior;Bertioga;4473;103;;;
3506409;Interior;Bilac;709;12;;;
3506508;Interior;Birigui;10836;356;;;
3506607;RMSP (exceto capital);Biritiba Mirim;984;64;;;
3506706;Interior;Boa Esperança do Sul;679;11;;;
3506805;Interior;Bocaina;1083;24;;;
3506904;Interior;Bofete;553;13;;;
3507001;Interior;Boituva;4098;97;;;
3507100;Interior;Bom Jesus dos Perdões;1672;21;;;
3507159;Interior;Bom Sucesso de Itararé;117;5;;;
3507209;Interior;Borá;51;0;;;
3507308;Interior;Boracéia;748;19;;;
3507407;Interior;Borborema;939;31;;;
3507456;Interior;Borebi;125;2;;;
3507506;Interior;Botucatu;10879;199;;;
3507605;Interior;Bragança Paulista;11969;268;;;
3507704;Interior;Braúna;352;19;;;
3507753;Interior;Brejo Alegre;263;10;;;
3507803;Interior;Brodowski;1721;46;;;
3507902;Interior;Brotas;428;25;;;
3508009;Interior;Buri;2101;52;;;
3508108;Interior;Buritama;1777;50;;;
3508207;Interior;Buritizal;215;6;;;
3508306;Interior;Cabrália Paulista;228;2;;;
3508405;Interior;Cabreúva;2967;69;;;
3508504;Interior;Caçapava;5604;158;;;
3508603;Interior;Cachoeira Paulista;1852;29;;;
3508702;Interior;Caconde;940;14;;;
3508801;Interior;Cafelândia;636;30;;;
3508900;Interior;Caiabu;68;5;;;
3509007;RMSP (exceto capital);Caieiras;6254;218;;;
3509106;Interior;Caiuá;239;5;;;
3509205;RMSP (exceto capital);Cajamar;3400;158;;;
3509254;Interior;Cajati;2816;70;;;
3509304;Interior;Cajobi;667;21;;;
3509403;Interior;Cajuru;696;21;;;
3509452;Interior;Campina do Monte Alegre;375;10;;;
3509502;Interior;Campinas;76226;2986;;;
3509601;Interior;Campo Limpo Paulista;3865;133;;;
3509700;Interior;Campos do Jordão;3419;51;;;
3509809;Interior;Campos Novos Paulista;195;3;;;
3509908;Interior;Cananéia;542;18;;;
3509957;Interior;Canas;152;4;;;
3510005;Interior;Cândido Mota;2324;72;;;
3510104;Interior;Cândido Rodrigues;106;3;;;
3510153;Interior;Canitar;421;3;;;
3510203;Interior;Capão Bonito;3047;64;;;
3510302;Interior;Capela do Alto;1051;15;;;
3510401;Interior;Capivari;3367;65;;;
3510500;Interior;Caraguatatuba;12385;313;;;
3510609;RMSP (exceto capital);Carapicuíba;24914;757;;;
3510708;Interior;Cardoso;709;32;;;
3510807;Interior;Casa Branca;1606;40;;;
3510906;Interior;Cássia dos Coqueiros;151;1;;;
3511003;Interior;Castilho;1523;38;;;
3511102;Interior;Catanduva;7848;324;;;
3511201;Interior;Catiguá;539;16;;;
3511300;Interior;Cedral;736;18;;;
3511409;Interior;Cerqueira César;1148;25;;;
3511508;Interior;Cerquilho;3555;69;;;
3511607;Interior;Cesário Lange;1132;37;;;
3511706;Interior;Charqueada;995;26;;;
3511904;Interior;Clementina;604;9;;;
3512001;Interior;Colina;1038;34;;;
3512100;Interior;Colômbia;298;6;;;
