epi_week ,date       ,country ,state ,city         ,ibgeID  ,newDeaths ,deaths ,newCases ,totalCases ,deaths_per_100k_inhabitants ,totalCases_per_100k_inhabitants ,deaths_by_totalCases ,_source ,last_info_date
16       ,2020-04-18 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,1          ,0.00000                     ,2.76358                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-07 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,2          ,0.00000                     ,5.52715                         ,0.00000              ,SES     ,2021-04-12
21       ,2020-05-22 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,3        ,5          ,0.00000                     ,13.81788                        ,0.00000              ,SES     ,2021-04-12
23       ,2020-06-02 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,2        ,7          ,0.00000                     ,19.34503                        ,0.00000              ,SES     ,2021-04-12
24       ,2020-06-10 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,8          ,0.00000                     ,22.10861                        ,0.00000              ,SES     ,2021-04-12
24       ,2020-06-11 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,9          ,0.00000                     ,24.87218                        ,0.00000              ,SES     ,2021-04-12
25       ,2020-06-16 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,10         ,0.00000                     ,27.63576                        ,0.00000              ,SES     ,2021-04-12
25       ,2020-06-17 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,11         ,0.00000                     ,30.39934                        ,0.00000              ,SES     ,2021-04-12
25       ,2020-06-19 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,12         ,0.00000                     ,33.16291                        ,0.00000              ,SES     ,2021-04-12
25       ,2020-06-20 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,2        ,14         ,0.00000                     ,38.69006                        ,0.00000              ,SES     ,2021-04-12
26       ,2020-06-24 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,1        ,15         ,0.00000                     ,41.45364                        ,0.00000              ,SES     ,2021-04-12
26       ,2020-06-25 ,Brazil  ,SP    ,Aparecida/SP ,3502507 ,0         ,0      ,2        ,17         ,0.00000                     ,46.98079                        ,0.00000              ,SES     ,2021-04-12
