epi_week ,date       ,country ,state ,city             ,ibgeID  ,newDeaths ,deaths ,newCases ,totalCases ,deaths_per_100k_inhabitants ,totalCases_per_100k_inhabitants ,deaths_by_totalCases ,_source ,last_info_date
15       ,2020-04-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,1          ,0.00000                     ,0.81629                         ,0.00000              ,SES     ,2021-04-12
18       ,2020-04-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,2        ,3          ,0.00000                     ,2.44888                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-03 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,4          ,0.00000                     ,3.26517                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-06 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,5          ,0.00000                     ,4.08147                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-07 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,-1       ,4          ,0.00000                     ,3.26517                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,5          ,0.00000                     ,4.08147                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-12 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,2        ,7          ,0.00000                     ,5.71405                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-13 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,2        ,9          ,0.00000                     ,7.34664                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-14 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,10         ,0.00000                     ,8.16293                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-15 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,1      ,2        ,12         ,0.81629                     ,9.79552                         ,0.08333              ,SES     ,2021-04-12
20       ,2020-05-16 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,3        ,15         ,0.81629                     ,12.24440                        ,0.06667              ,SES     ,2021-04-12
21       ,2020-05-19 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,4        ,19         ,0.81629                     ,15.50957                        ,0.05263              ,SES     ,2021-04-12
21       ,2020-05-22 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,1        ,20         ,0.81629                     ,16.32586                        ,0.05000              ,SES     ,2021-04-12
21       ,2020-05-23 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,1        ,21         ,0.81629                     ,17.14216                        ,0.04762              ,SES     ,2021-04-12
22       ,2020-05-25 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,1        ,22         ,0.81629                     ,17.95845                        ,0.04545              ,SES     ,2021-04-12
22       ,2020-05-28 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,3        ,25         ,0.81629                     ,20.40733                        ,0.04000              ,SES     ,2021-04-12
22       ,2020-05-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,2      ,2        ,27         ,1.63259                     ,22.03992                        ,0.07407              ,SES     ,2021-04-12
22       ,2020-05-30 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,28         ,1.63259                     ,22.85621                        ,0.07143              ,SES     ,2021-04-12
23       ,2020-06-01 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,29         ,1.63259                     ,23.67250                        ,0.06897              ,SES     ,2021-04-12
23       ,2020-06-02 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,2        ,31         ,1.63259                     ,25.30509                        ,0.06452              ,SES     ,2021-04-12
23       ,2020-06-03 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,32         ,1.63259                     ,26.12138                        ,0.06250              ,SES     ,2021-04-12
23       ,2020-06-05 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,2        ,34         ,1.63259                     ,27.75397                        ,0.05882              ,SES     ,2021-04-12
24       ,2020-06-07 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,35         ,1.63259                     ,28.57026                        ,0.05714              ,SES     ,2021-04-12
24       ,2020-06-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,3        ,38         ,1.63259                     ,31.01914                        ,0.05263              ,SES     ,2021-04-12
24       ,2020-06-11 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,3      ,7        ,45         ,2.44888                     ,36.73319                        ,0.06667              ,SES     ,2021-04-12
24       ,2020-06-12 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,47         ,2.44888                     ,38.36578                        ,0.06383              ,SES     ,2021-04-12
24       ,2020-06-13 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,48         ,2.44888                     ,39.18207                        ,0.06250              ,SES     ,2021-04-12
25       ,2020-06-15 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,49         ,2.44888                     ,39.99837                        ,0.06122              ,SES     ,2021-04-12
25       ,2020-06-16 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,51         ,2.44888                     ,41.63095                        ,0.05882              ,SES     ,2021-04-12
25       ,2020-06-17 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,53         ,2.44888                     ,43.26354                        ,0.05660              ,SES     ,2021-04-12
25       ,2020-06-19 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,11       ,64         ,2.44888                     ,52.24277                        ,0.04688              ,SES     ,2021-04-12
26       ,2020-06-21 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,65         ,2.44888                     ,53.05906                        ,0.04615              ,SES     ,2021-04-12
26       ,2020-06-22 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,66         ,2.44888                     ,53.87535                        ,0.04545              ,SES     ,2021-04-12
26       ,2020-06-23 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,15       ,81         ,2.44888                     ,66.11975                        ,0.03704              ,SES     ,2021-04-12
26       ,2020-06-24 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,83         ,2.44888                     ,67.75234                        ,0.03614              ,SES     ,2021-04-12
26       ,2020-06-25 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,7        ,90         ,2.44888                     ,73.46639                        ,0.03333              ,SES     ,2021-04-12
26       ,2020-06-26 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,5        ,95         ,2.44888                     ,77.54786                        ,0.03158              ,SES     ,2021-04-12
26       ,2020-06-27 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,3        ,98         ,2.44888                     ,79.99673                        ,0.03061              ,SES     ,2021-04-12
27       ,2020-06-28 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,5        ,103        ,2.44888                     ,84.07820                        ,0.02913              ,SES     ,2021-04-12
27       ,2020-06-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,6        ,109        ,2.44888                     ,88.97596                        ,0.02752              ,SES     ,2021-04-12
27       ,2020-06-30 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,3        ,112        ,2.44888                     ,91.42484                        ,0.02679              ,SES     ,2021-04-12
27       ,2020-07-01 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,6        ,118        ,2.44888                     ,96.32260                        ,0.02542              ,SES     ,2021-04-12
27       ,2020-07-02 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,4      ,2        ,120        ,3.26517                     ,97.95519                        ,0.03333              ,SES     ,2021-04-12
