epi_week ,date       ,country ,state ,city        ,ibgeID  ,newDeaths ,deaths ,newCases ,totalCases ,deaths_per_100k_inhabitants ,totalCases_per_100k_inhabitants ,deaths_by_totalCases ,_source ,last_info_date
30       ,2020-07-25 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,1          ,0.00000                     ,20.45408                        ,0.00000              ,SES     ,2021-04-12
31       ,2020-07-26 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,3          ,0.00000                     ,61.36224                        ,0.00000              ,SES     ,2021-04-12
31       ,2020-07-28 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,4          ,0.00000                     ,81.81632                        ,0.00000              ,SES     ,2021-04-12
31       ,2020-07-29 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,6          ,0.00000                     ,122.72448                       ,0.00000              ,SES     ,2021-04-12
31       ,2020-08-01 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,7          ,0.00000                     ,143.17856                       ,0.00000              ,SES     ,2021-04-12
32       ,2020-08-02 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,9          ,0.00000                     ,184.08673                       ,0.00000              ,SES     ,2021-04-12
32       ,2020-08-08 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,5        ,14         ,0.00000                     ,286.35713                       ,0.00000              ,SES     ,2021-04-12
33       ,2020-08-09 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,4        ,18         ,0.00000                     ,368.17345                       ,0.00000              ,SES     ,2021-04-12
33       ,2020-08-12 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,20         ,0.00000                     ,409.08161                       ,0.00000              ,SES     ,2021-04-12
33       ,2020-08-15 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,21         ,0.00000                     ,429.53569                       ,0.00000              ,SES     ,2021-04-12
34       ,2020-08-18 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,23         ,0.00000                     ,470.44385                       ,0.00000              ,SES     ,2021-04-12
34       ,2020-08-20 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,5        ,28         ,0.00000                     ,572.71426                       ,0.00000              ,SES     ,2021-04-12
34       ,2020-08-21 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,29         ,0.00000                     ,593.16834                       ,0.00000              ,SES     ,2021-04-12
34       ,2020-08-22 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,30         ,0.00000                     ,613.62242                       ,0.00000              ,SES     ,2021-04-12
35       ,2020-08-28 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,4        ,34         ,0.00000                     ,695.43874                       ,0.00000              ,SES     ,2021-04-12
36       ,2020-08-30 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,35         ,0.00000                     ,715.89282                       ,0.00000              ,SES     ,2021-04-12
36       ,2020-09-01 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,3        ,38         ,0.00000                     ,777.25506                       ,0.00000              ,SES     ,2021-04-12
36       ,2020-09-02 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,39         ,0.00000                     ,797.70914                       ,0.00000              ,SES     ,2021-04-12
36       ,2020-09-03 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,41         ,0.00000                     ,838.61730                       ,0.00000              ,SES     ,2021-04-12
36       ,2020-09-05 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,3        ,44         ,0.00000                     ,899.97955                       ,0.00000              ,SES     ,2021-04-12
37       ,2020-09-09 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,45         ,0.00000                     ,920.43363                       ,0.00000              ,SES     ,2021-04-12
37       ,2020-09-10 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,11       ,56         ,0.00000                     ,1145.42851                      ,0.00000              ,SES     ,2021-04-12
37       ,2020-09-12 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,57         ,0.00000                     ,1165.88259                      ,0.00000              ,SES     ,2021-04-12
38       ,2020-09-16 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,2        ,59         ,0.00000                     ,1206.79075                      ,0.00000              ,SES     ,2021-04-12
39       ,2020-09-24 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,60         ,0.00000                     ,1227.24484                      ,0.00000              ,SES     ,2021-04-12
40       ,2020-10-02 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,4        ,64         ,0.00000                     ,1309.06116                      ,0.00000              ,SES     ,2021-04-12
41       ,2020-10-08 ,Brazil  ,SP    ,Lagoinha/SP ,3526308 ,0         ,0      ,1        ,65         ,0.00000                     ,1329.51524                      ,0.00000              ,SES     ,2021-04-12
