epi_week ,date       ,country ,state ,city     ,ibgeID  ,newDeaths ,deaths ,newCases ,totalCases ,deaths_per_100k_inhabitants ,totalCases_per_100k_inhabitants ,deaths_by_totalCases ,_source ,last_info_date
20       ,2020-05-14 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,1          ,0.00000                     ,3.97931                         ,0.00000              ,SES     ,2021-04-12
22       ,2020-05-27 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,2          ,0.00000                     ,7.95862                         ,0.00000              ,SES     ,2021-04-12
23       ,2020-06-02 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,3          ,0.00000                     ,11.93792                        ,0.00000              ,SES     ,2021-04-12
23       ,2020-06-06 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,4          ,0.00000                     ,15.91723                        ,0.00000              ,SES     ,2021-04-12
24       ,2020-06-11 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,5          ,0.00000                     ,19.89654                        ,0.00000              ,SES     ,2021-04-12
25       ,2020-06-19 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,6          ,0.00000                     ,23.87585                        ,0.00000              ,SES     ,2021-04-12
25       ,2020-06-20 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,7          ,0.00000                     ,27.85515                        ,0.00000              ,SES     ,2021-04-12
26       ,2020-06-25 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,8          ,0.00000                     ,31.83446                        ,0.00000              ,SES     ,2021-04-12
26       ,2020-06-27 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,3        ,11         ,0.00000                     ,43.77238                        ,0.00000              ,SES     ,2021-04-12
27       ,2020-07-01 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,12         ,0.00000                     ,47.75169                        ,0.00000              ,SES     ,2021-04-12
27       ,2020-07-02 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,2        ,14         ,0.00000                     ,55.71031                        ,0.00000              ,SES     ,2021-04-12
28       ,2020-07-08 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,3        ,17         ,0.00000                     ,67.64823                        ,0.00000              ,SES     ,2021-04-12
29       ,2020-07-12 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,5        ,22         ,0.00000                     ,87.54477                        ,0.00000              ,SES     ,2021-04-12
29       ,2020-07-14 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,23         ,0.00000                     ,91.52407                        ,0.00000              ,SES     ,2021-04-12
29       ,2020-07-17 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,2        ,25         ,0.00000                     ,99.48269                        ,0.00000              ,SES     ,2021-04-12
29       ,2020-07-18 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,3        ,28         ,0.00000                     ,111.42061                       ,0.00000              ,SES     ,2021-04-12
30       ,2020-07-19 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,29         ,0.00000                     ,115.39992                       ,0.00000              ,SES     ,2021-04-12
30       ,2020-07-20 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,30         ,0.00000                     ,119.37923                       ,0.00000              ,SES     ,2021-04-12
30       ,2020-07-22 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,31         ,0.00000                     ,123.35854                       ,0.00000              ,SES     ,2021-04-12
30       ,2020-07-23 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,3        ,34         ,0.00000                     ,135.29646                       ,0.00000              ,SES     ,2021-04-12
30       ,2020-07-24 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,2        ,36         ,0.00000                     ,143.25507                       ,0.00000              ,SES     ,2021-04-12
30       ,2020-07-25 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,10       ,46         ,0.00000                     ,183.04815                       ,0.00000              ,SES     ,2021-04-12
31       ,2020-07-26 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,8        ,54         ,0.00000                     ,214.88261                       ,0.00000              ,SES     ,2021-04-12
31       ,2020-07-28 ,Brazil  ,SP    ,Potim/SP ,3540754 ,0         ,0      ,1        ,55         ,0.00000                     ,218.86192                       ,0.00000              ,SES     ,2021-04-12
