epi_week ,date       ,country ,state ,city       ,ibgeID  ,newDeaths ,deaths ,newCases ,totalCases ,deaths_per_100k_inhabitants ,totalCases_per_100k_inhabitants ,deaths_by_totalCases ,_source ,last_info_date
20       ,2020-05-14 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,0      ,1        ,1          ,0.00000                     ,9.25840                         ,0.00000              ,SES     ,2021-04-12
21       ,2020-05-22 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,0      ,1        ,2          ,0.00000                     ,18.51680                        ,0.00000              ,SES     ,2021-04-12
22       ,2020-05-29 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,0      ,5        ,7          ,0.00000                     ,64.80881                        ,0.00000              ,SES     ,2021-04-12
23       ,2020-06-02 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,1         ,1      ,1        ,8          ,9.25840                     ,74.06722                        ,0.12500              ,SES     ,2021-04-12
25       ,2020-06-16 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,9          ,9.25840                     ,83.32562                        ,0.11111              ,SES     ,2021-04-12
25       ,2020-06-19 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,10         ,9.25840                     ,92.58402                        ,0.10000              ,SES     ,2021-04-12
26       ,2020-06-24 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,2        ,12         ,9.25840                     ,111.10082                       ,0.08333              ,SES     ,2021-04-12
26       ,2020-06-27 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,2        ,14         ,9.25840                     ,129.61763                       ,0.07143              ,SES     ,2021-04-12
27       ,2020-07-02 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,2        ,16         ,9.25840                     ,148.13443                       ,0.06250              ,SES     ,2021-04-12
28       ,2020-07-08 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,3        ,19         ,9.25840                     ,175.90964                       ,0.05263              ,SES     ,2021-04-12
28       ,2020-07-10 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,20         ,9.25840                     ,185.16804                       ,0.05000              ,SES     ,2021-04-12
29       ,2020-07-12 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,21         ,9.25840                     ,194.42644                       ,0.04762              ,SES     ,2021-04-12
29       ,2020-07-16 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,22         ,9.25840                     ,203.68484                       ,0.04545              ,SES     ,2021-04-12
29       ,2020-07-18 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,23         ,9.25840                     ,212.94325                       ,0.04348              ,SES     ,2021-04-12
30       ,2020-07-22 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,1      ,1        ,24         ,9.25840                     ,222.20165                       ,0.04167              ,SES     ,2021-04-12
30       ,2020-07-23 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,1         ,2      ,2        ,26         ,18.51680                    ,240.71845                       ,0.07692              ,SES     ,2021-04-12
30       ,2020-07-24 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,2      ,7        ,33         ,18.51680                    ,305.52727                       ,0.06061              ,SES     ,2021-04-12
31       ,2020-07-28 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,2      ,4        ,37         ,18.51680                    ,342.56087                       ,0.05405              ,SES     ,2021-04-12
31       ,2020-07-29 ,Brazil  ,SP    ,Roseira/SP ,3544301 ,0         ,2      ,1        ,38         ,18.51680                    ,351.81928                       ,0.05263              ,SES     ,2021-04-12
